student_id,class_id,major,epi_len,app_len,total_len,n_entities,n_relations,n_epi_entities,n_app_entities,cross_edges,relation_entity_ratio,cross_ratio,connectivity,coverage,community_cross_ratio
D_유001,D,물리학과,184,141,325,9,7,6,3,1,0.7778,0.1429,0.5556,0.0444,0.0
D_유002,D,화학과,309,146,455,13,10,8,5,2,0.7692,0.2,0.7692,0.0889,0.1
D_유003,D,화학과,112,169,281,8,7,4,4,1,0.875,0.1429,1.0,0.0444,0.1429
D_유004,D,의생명시스템학부,238,80,318,12,10,9,3,1,0.8333,0.1,0.6667,0.0667,0.0
D_유005,D,물리학과,288,221,509,10,9,6,4,2,0.9,0.2222,0.7,0.0444,0.0
D_유006,D,화학과,79,93,172,9,7,5,4,1,0.7778,0.1429,0.7778,0.0444,0.0
D_유007,D,의생명시스템학부,324,270,594,17,18,8,9,0,1.0588,0.0,0.5294,0.0444,0.0
D_유008,D,물리학과,140,196,336,11,10,5,6,1,0.9091,0.1,0.8182,0.0444,0.0
D_유009,D,화학과,231,226,457,13,11,7,6,4,0.8462,0.3636,0.6923,0.0667,0.0
D_유010,D,물리학과,138,236,374,10,8,4,6,4,0.8,0.5,0.8,0.0444,0.0
D_유011,D,물리학과,191,158,349,11,10,7,4,2,0.9091,0.2,1.0,0.0222,0.0
D_유012,D,화학과,123,261,384,8,5,3,5,2,0.625,0.4,0.625,0.0667,0.0
D_유013,D,의생명시스템학부,351,243,594,11,10,7,4,1,0.9091,0.1,1.0,0.0444,0.1
D_유014,D,물리학과,563,401,964,25,23,14,11,9,0.92,0.3913,0.84,0.0889,0.0435
D_유015,D,의생명시스템학부,340,222,562,10,7,6,4,1,0.7,0.1429,0.4,0.0667,0.0
D_유016,D,화학과,256,330,586,12,10,6,6,2,0.8333,0.2,0.8333,0.0444,0.0
D_유017,D,화학과,360,169,529,14,14,9,5,4,1.0,0.2857,1.0,0.0222,0.0
D_유018,D,의생명시스템학부,345,420,765,15,13,8,7,0,0.8667,0.0,0.4667,0.0667,0.0
D_유019,D,물리학과,106,89,195,8,7,5,3,3,0.875,0.4286,1.0,0.0222,0.0
D_유020,D,물리학과,78,203,281,7,6,3,4,1,0.8571,0.1667,1.0,0.0222,0.0
